TIPO LOGR,LOGRD,NUMERO,BAIRRO,MUNICIPIO,UF,Latitude,Longitude
RUA,ANTONIO VALDER VIANA,113,CENTRO,Cedro,CE,-6.60667,-39.06222
10A TRAVESSA,ANTONIO PEREIRA,82,PRADO,Cedro,CE,-6.60667,-39.06222
10A RUA,VEREADOR ALVES DINIZ,111,BAIRRO DE FATIMA,Cedro,CE,-6.60667,-39.06222
RUA,ISIDORO DOMINGOS VIEIRA,242,BAIRRO DE FATIMA,Cedro,CE,-6.60667,-39.06222
10A AVENIDA,JOAQUIM ALVES DOS SANTOS,400,CONJUNTO HABITACIONAL,Cedro,CE,-6.60667,-39.06222
RUA,ANTONIO VALDER VIANA,160,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA PRINCIPAL,ORION,59,PRADO,Cedro,CE,-6.60667,-39.06222
RUA,BARAO DE STUDART,411,PEGA AVOANTE,Cedro,CE,-6.60667,-39.06222
10A RUA,BARAO DE STUDART,289,DIVISAO,Cedro,CE,-6.60667,-39.06222
RUA,PADRE SA,92,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,JOANA SIMAO,93,ACUDE NOVO,Cedro,CE,-6.6067909,-39.0571073
RUA,DR. GUEDES MARTINS,000520,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,SENADOR JOAO TOME,29,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CEL. JOSE ALBUQUERQUE,472,CENTRO,Cedro,CE,-6.60667,-39.06222
,AGROVILA UBALDINHO,05,UBALDINHO,Cedro,CE,-6.58333,-39.23333
AVENIDA,PEDRO LOPES VIEIRA,262,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,VEREADOR SALUSTRIANO MOURA,583,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,VEREADOR JOSE GONCALVES VIANA,221,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,JOSE PAJE,330,CENTRO,Cedro,CE,-6.60667,-39.06222
TRAVESSA,15 DE NOVEMBRO,30,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,SAO JOSE,726,CENTRO,Cedro,CE,-6.60667,-39.06222
PRACA,NILO VIANA DINIZ,SN,CENTRO,Cedro,CE,-6.60667,-39.06222
DISTRITO,LAGEDO,SN,LAGEDO,Cedro,CE,-6.51167,-39.05972
RUA,PADRE SA,334,CENTRO,Cedro,CE,-6.60667,-39.06222
SÃTIO,MANOEL ALEXANDRE II,110,ZONA RURAL,Cedro,CE,-6.60667,-39.06222
RUA,VICENTE VIANA,448,ALTO DO PADEIRO,Cedro,CE,-6.6087029,-39.0573758
RUA,CEL JOSE DE ALBUQUERQUE,556,CENTRO,Cedro,CE,-6.60667,-39.06222
SITIO,MARRECAS,100,ZONA RURAL,Cedro,CE,-6.60667,-39.06222
RUA,CEL JOSE DE ALBUQUERQUE,604,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CORONEL JOAO CANDIDO,36,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,JOSE PAJE,394,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,PROFESSOR NATANAEL CORTEZ,959,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CORONEL LUIZ FELIPE,170,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,AZARIAS ALVES DINIZ,157,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,ANTONIO VALDER VIANA,204,CENTRO,Cedro,CE,-6.60667,-39.06222
SITIO,ZE RAIMUNDO,01,ZONRA RURAL,Cedro,CE,-6.60667,-39.06222
VIA,PLANALTO DOS LEMOS,01,CEDRO II,Cedro,CE,-6.60667,-39.06222
RUA,ANTONIO VALDER VIANA,213,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,PADRE EMIDIO LEMOS,75,CENTRO,Cedro,CE,-6.60667,-39.06222
10A RUA,DISTRITO LAGEDO,11,DISTRITO LAGEDO,Cedro,CE,-6.51167,-39.05972
RUA,JOEL DUARTE PASSOS,168,ACUDE NOVO,Cedro,CE,-6.60667,-39.06222
RUA,CEL JOSE DE ALBUQUERQUE,402,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,ANTONIO VALDER VIANA,243,CENTRO,Cedro,CE,-6.60667,-39.06222
AVENIDA,ENEAS VIANA DE ARAUJO,473,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CORONEL CELSO ARAUJO,302,FATIMA,Cedro,CE,-6.606972,-39.0648454
